ID,absolute_clone_path,local_clone_path,source
husky/husky_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/husky_____husky_robot,./cloned_repos/husky_____husky_robot,github
ildoonet/tf-pose-estimation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ildoonet_____tf-pose-estimation,./cloned_repos/ildoonet_____tf-pose-estimation,github
informatik-mannheim/akrobat,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/informatik-mannheim_____akrobat,./cloned_repos/informatik-mannheim_____akrobat,github
internationalauto/auto_guidance,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/internationalauto_____auto_guidance,./cloned_repos/internationalauto_____auto_guidance,bitbucket
ipa320/schunk_robots,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ipa320_____schunk_robots,./cloned_repos/ipa320_____schunk_robots,github
iscumd/Yeti2018,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/iscumd_____Yeti2018,./cloned_repos/iscumd_____Yeti2018,github
jackal/jackal,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jackal_____jackal,./cloned_repos/jackal_____jackal,github
jackal/jackal_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jackal_____jackal_robot,./cloned_repos/jackal_____jackal_robot,github
jakeware/global_mapper,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jakeware_____global_mapper,./cloned_repos/jakeware_____global_mapper,github
jbohren-forks/pr2_doors,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jbohren-forks_____pr2_doors,./cloned_repos/jbohren-forks_____pr2_doors,github
JHS-ARCC-Club/jetson_car,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/JHS-ARCC-Club_____jetson_car,./cloned_repos/JHS-ARCC-Club_____jetson_car,github
jhu-asco/aerial_autonomy,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jhu-asco_____aerial_autonomy,./cloned_repos/jhu-asco_____aerial_autonomy,github
jhu-lcsr/sp_segmenter,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/jhu-lcsr_____sp_segmenter,./cloned_repos/jhu-lcsr_____sp_segmenter,github
